,Kind,Name,AvgCyclomatic,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethodAll,CountDeclMethod,CountDeclMethodPublic,CountLineCode,MaxInheritanceTree,PercentLackOfCohesion,Change
51,Anonymous Class,com.android.fmradio.views.FmScroller.doOnPreDraw.(Anon_6),1,1,1,0,1,0,1,1,1,7,2,0,No Change
52,Public Interface,com.android.fmradio.views.FmScroller.EventListener,0,0,0,1,3,0,3,3,0,5,0,0,No Change
53,Class,com.android.fmradio.views.FmScroller.FavoriteAdapter,2,1,6,0,7,2,7,7,7,101,2,57,No Change
54,Anonymous Class,com.android.fmradio.views.FmScroller.FavoriteAdapter.getView.(Anon_7),2,1,2,0,1,0,1,1,1,9,2,0,No Change
55,Anonymous Class,com.android.fmradio.views.FmScroller.initialize.(Anon_3),2,1,3,0,1,0,1,1,1,15,2,0,No Change
56,Anonymous Class,com.android.fmradio.views.FmScroller.initialize.(Anon_3).onItemClick.(Anon_4),1,1,1,0,1,0,1,1,1,6,2,0,No Change
57,Anonymous Class,com.android.fmradio.views.FmScroller.initialize.(Anon_5),1,1,1,0,1,0,1,1,1,8,2,0,No Change
58,Anonymous Class,com.android.fmradio.views.FmScroller.showPopupMenu.(Anon_8),5,1,2,0,1,0,1,1,1,19,2,0,No Change
59,Private Class,com.android.fmradio.views.FmScroller.ViewHolder,0,1,1,0,0,5,0,0,0,7,1,0,No Change
60,Public Class,com.android.fmradio.views.FmSnackBar,2,1,1,0,4,10,5,5,3,100,2,60,Lines Increased
61,Anonymous Class,com.android.fmradio.views.FmSnackBar.(Anon_1),1,1,1,0,1,0,1,1,1,5,2,0,No Change
62,Anonymous Class,com.android.fmradio.views.FmSnackBar.init.(Anon_2),2,1,2,0,1,0,1,1,1,7,2,0,No Change
63,Public Interface,com.android.fmradio.views.FmSnackBar.OnActionTriggerListener,0,0,0,1,1,0,1,1,0,3,0,0,No Change
64,Public Class,com.android.fmradio.views.FmTouchlessScrollView,1,1,0,0,6,0,6,6,5,26,2,0,Lines Increased
65,Public Class,com.android.fmradio.views.FmVisualizerView,1,1,0,0,11,7,11,11,8,108,2,81,Lines Increased
66,Anonymous Class,com.android.fmradio.views.FmVisualizerView.(Anon_1),1,1,1,0,1,0,1,1,1,4,2,0,No Change
