,Kind,Name,AvgCyclomatic,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethodAll,CountDeclMethod,CountDeclMethodPublic,CountLineCode,MaxInheritanceTree,PercentLackOfCohesion,Change
75,Anonymous Class,com.android.contacts.datepicker.DatePicker.DatePicker.(Anon_1),1,1,1,0,1,0,1,1,1,6,2,0,No Change
76,Anonymous Class,com.android.contacts.datepicker.DatePicker.DatePicker.(Anon_2),1,1,1,0,1,0,1,1,1,8,2,0,No Change
77,Anonymous Class,com.android.contacts.datepicker.DatePicker.DatePicker.(Anon_3),1,1,1,0,1,0,1,1,1,8,2,0,No Change
78,Anonymous Class,com.android.contacts.datepicker.DatePicker.DatePicker.(Anon_4),1,1,1,0,1,0,1,1,1,8,2,0,No Change
79,Public Interface,com.android.contacts.datepicker.DatePicker.OnDateChangedListener,0,0,1,1,1,0,1,1,0,3,0,0,No Change
80,Private Static Class,com.android.contacts.datepicker.DatePicker.SavedState,1,1,0,0,8,5,8,8,6,60,2,50,No Change
81,Anonymous Class,com.android.contacts.datepicker.DatePicker.SavedState.(Anon_5),1,1,1,0,2,0,2,2,2,9,2,0,No Change
82,Public Class,com.android.contacts.datepicker.DatePickerDialog,1,3,2,0,10,7,10,10,9,114,2,77,No Change
83,Public Interface,com.android.contacts.datepicker.DatePickerDialog.OnDateSetListener,0,0,1,1,1,0,1,1,0,3,0,0,No Change
84,Class,com.android.contacts.detail.ActionsViewContainer,1,1,0,0,5,1,5,5,5,18,2,60,No Change
85,Public Class,com.android.contacts.detail.ContactDetailPhotoSetter,1,1,1,0,2,0,13,2,1,54,2,0,Class Deleted
86,Private Static Class,com.android.contacts.detail.ContactDetailPhotoSetter.PhotoClickListener,2,2,1,0,2,5,2,2,2,40,1,0,Class Deleted
87,Public Class,com.android.contacts.detail.ContactDisplayUtils,3,1,2,0,0,0,15,15,14,227,1,93,No Change
88,Private Static Class,com.android.contacts.detail.ContactDisplayUtils.DefaultImageGetter,2,2,1,0,4,1,4,4,2,58,1,50,No Change
89,Public Abstract Class,com.android.contacts.detail.PhotoSelectionHandler,2,2,4,2,16,9,16,16,6,205,1,81,Lines Increased
90,Anonymous Class,com.android.contacts.detail.PhotoSelectionHandler.onClick.(Anon_1),1,1,2,0,1,0,1,1,1,5,2,0,No Change
91,Public Abstract Class,com.android.contacts.detail.PhotoSelectionHandler.PhotoActionListener,1,2,1,2,7,0,7,7,7,29,1,0,Lines Decreased
92,Public Class,com.android.contacts.detail.TransformableImageView,1,1,0,0,4,0,4,4,3,39,2,0,Class Deleted
93,Public Class,com.android.contacts.editor.AggregationSuggestionEngine,3,1,5,0,17,9,17,17,9,347,2,85,Lines Decreased
94,Anonymous Class,com.android.contacts.editor.AggregationSuggestionEngine.AggregationSuggestionEngine.(Anon_1),1,1,1,0,1,0,1,1,1,5,2,0,No Change
95,Private Static Class,com.android.contacts.editor.AggregationSuggestionEngine.DataQuery,0,1,0,0,0,0,0,0,0,38,1,0,No Change
96,Anonymous Class,com.android.contacts.editor.AggregationSuggestionEngine.getHandler.(Anon_2),1,1,1,0,1,0,1,1,1,5,2,0,No Change
97,Public Interface,com.android.contacts.editor.AggregationSuggestionEngine.Listener,0,0,0,1,1,0,1,1,0,3,0,0,No Change
98,Public Static Class,com.android.contacts.editor.AggregationSuggestionEngine.RawContact,1,1,0,0,1,4,1,1,1,11,1,0,No Change
99,Public Static Class,com.android.contacts.editor.AggregationSuggestionEngine.Suggestion,2,1,0,0,1,8,1,1,1,16,1,12,No Change
100,Private Class,com.android.contacts.editor.AggregationSuggestionEngine.SuggestionContentObserver,1,1,1,0,2,0,2,2,1,9,2,0,No Change
101,Public Class,com.android.contacts.editor.AggregationSuggestionView,2,1,3,0,8,5,8,8,7,84,2,72,Lines Increased
102,Public Interface,com.android.contacts.editor.AggregationSuggestionView.Listener,0,0,0,1,2,0,2,2,2,4,0,0,No Change
103,Public Abstract Class,com.android.contacts.editor.BaseRawContactEditorView,1,1,2,2,12,5,12,12,9,54,2,76,Lines Increased
104,Public Class,com.android.contacts.editor.ContactEditorFragment,3,5,32,0,64,41,64,64,29,1407,2,92,Lines Decreased
105,Anonymous Class,com.android.contacts.editor.ContactEditorFragment.(Anon_1),1,1,3,0,1,0,1,1,1,8,2,0,Class Deleted
106,Anonymous Class,com.android.contacts.editor.ContactEditorFragment.(Anon_8),1,1,3,0,3,0,3,3,3,25,2,0,Class Deleted
107,Anonymous Class,com.android.contacts.editor.ContactEditorFragment.(Anon_9),1,1,2,0,3,0,3,3,3,13,2,0,Class Deleted
108,Anonymous Class,com.android.contacts.editor.ContactEditorFragment.addAccountSwitcher.(Anon_3),1,1,1,0,1,0,1,1,1,25,2,0,Class Deleted
109,Anonymous Class,com.android.contacts.editor.ContactEditorFragment.addAccountSwitcher.(Anon_3).onClick.(Anon_4),2,1,3,0,1,0,1,1,1,10,2,0,Class Deleted
110,Private Static Class,com.android.contacts.editor.ContactEditorFragment.AggregationSuggestionAdapter,1,1,3,0,5,4,5,5,5,37,2,55,Class Deleted
111,Anonymous Class,com.android.contacts.editor.ContactEditorFragment.bindEditors.(for_loop_4).(Anon_2),2,2,2,0,2,0,2,2,2,13,1,0,Class Deleted
112,Public Static Class,com.android.contacts.editor.ContactEditorFragment.CancelEditDialogFragment,1,1,1,0,1,0,2,2,2,24,2,0,Class Deleted
113,Anonymous Class,com.android.contacts.editor.ContactEditorFragment.CancelEditDialogFragment.onCreateDialog.(Anon_5),1,1,1,0,1,0,1,1,1,6,2,0,Class Deleted
114,Private Class,com.android.contacts.editor.ContactEditorFragment.EntityDeltaComparator,21,2,1,0,1,0,1,1,1,71,1,0,Class Deleted
115,Public Static Class,com.android.contacts.editor.ContactEditorFragment.JoinSuggestedContactDialogFragment,1,1,0,0,1,0,1,1,1,22,2,0,Class Deleted
116,Anonymous Class,com.android.contacts.editor.ContactEditorFragment.JoinSuggestedContactDialogFragment.onCreateDialog.(Anon_6),1,1,1,0,1,0,1,1,1,10,2,0,Class Deleted
