,Kind,Name,AvgCyclomatic,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethodAll,CountDeclMethod,CountDeclMethodPublic,CountLineCode,MaxInheritanceTree,PercentLackOfCohesion,Change
88,Public Class,com.android.exchange.provider.GalResult,1,1,1,0,4,2,4,4,4,49,1,62,Lines Increased
89,Public Static Class,com.android.exchange.provider.GalResult.GalData,1,1,0,0,5,4,5,5,4,37,1,70,Lines Increased
90,Public Abstract Class,com.android.exchange.service.AbstractSyncAdapterService,3,1,1,3,8,2,10,10,6,122,2,77,No Change
91,Anonymous Class,com.android.exchange.service.AbstractSyncAdapterService.onCreate.(Anon_1),1,1,1,0,2,0,2,2,2,13,2,0,No Change
92,Public Class,com.android.exchange.service.CalendarSyncAdapterService,1,1,1,0,2,0,12,2,1,89,3,50,Lines Increased
93,Private Class,com.android.exchange.service.CalendarSyncAdapterService.SyncAdapterImpl,7,1,3,0,2,0,2,2,2,69,2,0,No Change
94,Public Class,com.android.exchange.service.ContactsSyncAdapterService,1,1,2,0,2,0,13,3,1,99,3,66,Lines Increased
95,Private Class,com.android.exchange.service.ContactsSyncAdapterService.SyncAdapterImpl,6,1,3,0,2,0,2,2,2,70,2,0,No Change
96,Public Class,com.android.exchange.service.EasServerConnection,1,1,3,0,26,11,26,26,15,271,1,89,Lines Increased
97,Anonymous Class,com.android.exchange.service.EasServerConnection.getHttpClient.(Anon_1),1,1,2,0,1,0,1,1,0,8,2,0,No Change
98,Public Class,com.android.exchange.service.EasService,3,1,6,0,8,2,10,10,9,299,2,80,Lines Increased
99,Anonymous Class,com.android.exchange.service.EasService.(Anon_1),1,1,11,0,13,0,13,13,12,119,2,0,Lines Increased
100,Private Class,com.android.exchange.service.EasService.RestartPingsTask,3,1,2,0,2,1,2,2,0,31,2,0,Lines Increased
101,Public Class,com.android.exchange.service.EmailSyncAdapterService,1,1,2,0,5,0,15,5,4,84,3,80,Lines Decreased
102,Private Class,com.android.exchange.service.EmailSyncAdapterService.SyncAdapterImpl,4,1,2,0,2,0,2,2,2,48,2,0,No Change
103,Public Class,com.android.exchange.service.PingSyncSynchronizer,1,1,2,0,11,3,11,11,9,239,1,39,Lines Increased
104,Private Static Class,com.android.exchange.service.PingSyncSynchronizer.AccountSyncState,2,1,5,0,7,4,7,7,5,109,1,28,Lines Increased
105,Public Class,com.android.exchange.service.PingTask,1,1,5,0,6,2,6,6,4,41,2,33,Lines Increased
106,Public Class,com.android.exchange.SettingsRedirector,2,1,0,0,1,0,1,1,0,18,2,0,Lines Increased
107,Public Class,com.android.exchange.StaleFolderListException,0,1,0,0,0,0,0,0,0,2,3,0,Lines Increased
108,Public Class,com.android.exchange.utility.CalendarUtilities,4,1,6,0,0,0,60,60,23,1373,1,97,Lines Increased
109,Static Class,com.android.exchange.utility.CalendarUtilities.RRule,1,1,1,0,3,5,3,3,1,30,1,19,No Change
110,Static Class,com.android.exchange.utility.CalendarUtilities.TimeZoneDate,0,1,0,0,0,7,0,0,0,9,1,0,No Change
111,Public Class,com.android.exchange.utility.CurlLogger,6,2,1,0,1,0,2,2,1,55,1,0,Lines Increased
112,Public Class,com.android.exchange.utility.FileLogger,3,1,0,0,1,0,5,5,4,80,1,53,Lines Increased
113,Class,com.android.exchange.utility.Misc,1,1,0,0,0,0,1,1,1,15,1,0,No Change
114,Public Class,com.android.exchange.utility.SimpleIcsWriter,2,1,0,0,5,1,7,7,5,85,1,71,Lines Increased
115,Public Abstract Class,com.android.exchange.utility.UriCodec,3,1,1,1,6,0,12,12,7,141,1,0,Lines Increased
116,Public Class,com.android.exchange.utility.WbxmlResponseLogger,2,2,1,0,1,0,4,4,1,47,1,0,Lines Increased
