,Kind,Name,AvgCyclomatic,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethodAll,CountDeclMethod,CountDeclMethodPublic,CountLineCode,MaxInheritanceTree,PercentLackOfCohesion,Change
141,Anonymous Class,com.android.calendar.event.EditEventFragment.displayEditWhichDialog.(Anon_4),2,1,1,0,1,0,1,1,1,8,2,0,No Change
142,Class,com.android.calendar.event.EditEventFragment.Done,9,2,7,0,2,1,2,2,2,89,1,0,No Change
143,Private Static Class,com.android.calendar.event.EditEventFragment.EventBundle,0,2,0,0,0,3,0,0,0,6,1,0,No Change
144,Private Class,com.android.calendar.event.EditEventFragment.QueryHandler,13,1,9,0,2,0,2,2,1,202,2,0,No Change
145,Public Class,com.android.calendar.event.EditEventHelper,5,1,6,0,10,3,23,23,15,920,1,94,No Change
146,Public Static Class,com.android.calendar.event.EditEventHelper.AttendeeItem,1,1,1,0,1,6,1,1,1,12,1,66,No Change
147,Public Interface,com.android.calendar.event.EditEventHelper.EditDoneRunnable,0,1,0,1,1,0,1,1,1,3,2,0,No Change
148,Public Class,com.android.calendar.event.EditEventView,4,6,19,0,41,84,43,43,18,1326,1,92,No Change
149,Public Static Class,com.android.calendar.event.EditEventView.CalendarsAdapter,2,1,1,0,2,0,2,2,2,27,2,0,No Change
150,Private Class,com.android.calendar.event.EditEventView.DateClickListener,2,2,3,0,2,1,2,2,2,26,1,0,No Change
151,Private Class,com.android.calendar.event.EditEventView.DateListener,2,2,1,0,2,1,2,2,2,43,1,0,No Change
152,Anonymous Class,com.android.calendar.event.EditEventView.EditEventView.(Anon_1),1,1,1,0,1,0,1,1,1,5,2,0,No Change
153,Anonymous Class,com.android.calendar.event.EditEventView.EditEventView.(Anon_2),2,1,1,0,1,0,1,1,1,8,2,0,No Change
154,Anonymous Class,com.android.calendar.event.EditEventView.EditEventView.(Anon_3),2,1,1,0,2,0,2,2,2,17,2,0,No Change
155,Anonymous Class,com.android.calendar.event.EditEventView.setModel.(Anon_4),1,1,1,0,1,0,1,1,1,5,2,0,No Change
156,Anonymous Class,com.android.calendar.event.EditEventView.setModel.(Anon_5),1,1,1,0,1,0,1,1,1,5,2,0,No Change
157,Anonymous Class,com.android.calendar.event.EditEventView.setModel.(Anon_6),1,1,1,0,1,0,1,1,1,5,2,0,No Change
158,Private Class,com.android.calendar.event.EditEventView.TimeClickListener,3,2,2,0,2,1,2,2,2,34,1,0,No Change
159,Private Class,com.android.calendar.event.EditEventView.TimeListener,2,2,1,0,2,1,2,2,2,35,1,0,No Change
160,Public Class,com.android.calendar.event.EventColorCache,1,2,0,0,7,2,7,7,5,59,1,50,No Change
161,Public Class,com.android.calendar.event.EventColorPickerDialog,1,1,0,0,5,1,6,6,6,44,2,50,No Change
162,Anonymous Class,com.android.calendar.event.EventColorPickerDialog.onCreateDialog.(Anon_1),1,1,1,0,1,0,1,1,1,6,2,0,No Change
163,Public Class,com.android.calendar.event.EventLocationAdapter,3,2,2,0,6,4,9,9,5,286,2,84,No Change
164,Anonymous Class,com.android.calendar.event.EventLocationAdapter.asyncLoadPhotoAndUpdateView.(Anon_1),2,1,1,0,2,0,2,2,1,18,2,0,No Change
165,Public Class,com.android.calendar.event.EventLocationAdapter.LocationFilter,5,1,2,0,2,0,2,2,0,58,2,0,No Change
166,Anonymous Class,com.android.calendar.event.EventLocationAdapter.LocationFilter.performFiltering.(Anon_2),1,1,2,0,1,0,1,1,0,5,2,0,No Change
167,Public Static Class,com.android.calendar.event.EventLocationAdapter.Result,1,1,0,0,2,4,2,2,2,17,1,37,No Change
168,Public Class,com.android.calendar.event.EventViewUtils,3,1,1,0,1,0,10,10,8,158,1,0,No Change
169,Public Class,com.android.calendar.EventGeometry,3,1,2,0,7,4,7,7,4,100,1,71,No Change
170,Public Class,com.android.calendar.EventInfoActivity,3,1,3,0,6,5,6,6,1,117,2,80,No Change
171,Anonymous Class,com.android.calendar.EventInfoActivity.(Anon_1),2,1,2,0,2,0,2,2,2,12,2,0,No Change
172,Public Class,com.android.calendar.EventInfoFragment,3,6,19,0,59,93,63,63,31,1706,2,94,No Change
173,Anonymous Class,com.android.calendar.EventInfoFragment.(Anon_1),1,1,1,0,1,0,1,1,1,5,2,0,No Change
174,Anonymous Class,com.android.calendar.EventInfoFragment.(Anon_10),3,1,1,0,1,0,1,1,1,11,2,0,No Change
175,Anonymous Class,com.android.calendar.EventInfoFragment.(Anon_2),2,1,1,0,1,0,1,1,1,8,2,0,No Change
176,Anonymous Class,com.android.calendar.EventInfoFragment.createDeleteOnDismissListener.(Anon_14),2,1,1,0,1,0,1,1,1,7,2,0,No Change
177,Anonymous Class,com.android.calendar.EventInfoFragment.onActivityCreated.(Anon_3),1,1,1,0,2,0,2,2,2,12,2,0,No Change
178,Anonymous Class,com.android.calendar.EventInfoFragment.onAttach.(Anon_4),6,1,2,0,1,0,1,1,1,25,2,0,No Change
179,Anonymous Class,com.android.calendar.EventInfoFragment.onCreateView.(Anon_5),1,1,1,0,3,1,3,3,3,18,2,0,No Change
180,Anonymous Class,com.android.calendar.EventInfoFragment.onCreateView.(Anon_6),2,1,2,0,1,0,1,1,1,13,2,0,No Change
181,Anonymous Class,com.android.calendar.EventInfoFragment.onCreateView.(Anon_7),2,1,1,0,1,0,1,1,1,8,2,0,No Change
182,Anonymous Class,com.android.calendar.EventInfoFragment.onCreateView.(Anon_8),1,1,1,0,1,0,1,1,1,5,2,0,No Change
183,Anonymous Class,com.android.calendar.EventInfoFragment.onCreateView.(Anon_9),1,1,1,0,1,0,1,1,1,6,2,0,No Change
184,Private Class,com.android.calendar.EventInfoFragment.QueryHandler,15,1,2,0,2,0,18,2,1,155,3,0,No Change
185,Anonymous Class,com.android.calendar.EventInfoFragment.updateCalendar.(Anon_13),3,1,1,0,1,0,1,1,1,11,2,0,No Change
186,Anonymous Class,com.android.calendar.EventInfoFragment.updateCustomAppButton.(Anon_12),2,1,1,0,1,0,1,1,1,9,2,0,No Change
187,Anonymous Class,com.android.calendar.EventInfoFragment.updateEvent.(Anon_11),2,1,0,0,1,0,1,1,1,9,2,0,No Change
188,Public Class,com.android.calendar.EventLoader,1,1,4,0,5,6,5,5,4,161,1,70,No Change
189,Private Static Class,com.android.calendar.EventLoader.LoaderThread,2,1,3,0,3,2,3,3,3,34,2,16,No Change
190,Private Static Class,com.android.calendar.EventLoader.LoadEventDaysRequest,2,2,1,0,3,4,3,3,3,46,1,33,No Change
191,Private Static Class,com.android.calendar.EventLoader.LoadEventsRequest,1,2,2,0,3,6,3,3,3,29,1,27,No Change
192,Private Interface,com.android.calendar.EventLoader.LoadRequest,0,0,1,3,2,0,2,2,2,4,0,0,No Change
193,Private Static Class,com.android.calendar.EventLoader.ShutdownRequest,1,2,1,0,2,0,2,2,2,6,1,0,No Change
194,Public Class,com.android.calendar.EventRecurrenceFormatter,7,1,0,0,0,0,4,4,1,113,1,62,No Change
195,Public Class,com.android.calendar.ExpandableTextView,2,2,0,0,9,7,9,9,6,75,2,69,No Change
196,Public Class,com.android.calendar.ExtensionsFactory,3,1,3,0,0,0,5,5,4,110,1,62,No Change
198,Anonymous Class,com.android.calendar.ExtensionsFactory.getAllInOneMenuExtensions.(Anon_1),1,2,0,0,2,0,2,2,2,9,1,0,No Change
199,Anonymous Class,com.android.calendar.ExtensionsFactory.getAnalyticsLogger.(Anon_3),1,2,0,0,2,0,2,2,2,8,1,0,No Change
200,Anonymous Class,com.android.calendar.ExtensionsFactory.getCloudNotificationBackplane.(Anon_2),1,2,0,0,4,0,4,4,4,15,1,0,No Change
201,Public Class,com.android.calendar.GeneralPreferences,3,4,6,0,12,11,14,14,10,285,2,77,No Change
202,Anonymous Class,com.android.calendar.GeneralPreferences.onCreate.(Anon_1),1,1,1,0,1,0,1,1,1,6,2,0,No Change
203,Public Class,com.android.calendar.GoogleCalendarUriIntentFilter,15,1,1,0,3,0,3,3,0,209,2,0,No Change
204,Anonymous Class,com.android.calendar.GoogleCalendarUriIntentFilter.updateSelfAttendeeStatus.(Anon_1),5,1,1,0,1,0,1,1,0,26,2,0,No Change
205,Public Class,com.android.calendar.month.MonthByWeekAdapter,3,1,8,0,13,21,27,13,6,321,3,86,No Change
206,Anonymous Class,com.android.calendar.month.MonthByWeekAdapter.(Anon_1),2,1,3,0,1,0,1,1,1,12,2,0,No Change
207,Anonymous Class,com.android.calendar.month.MonthByWeekAdapter.(Anon_2),4,1,3,0,1,0,1,1,1,15,2,0,No Change
208,Protected Class,com.android.calendar.month.MonthByWeekAdapter.CalendarGestureListener,2,1,2,0,2,0,2,2,2,20,2,0,No Change
209,Public Class,com.android.calendar.month.MonthByWeekFragment,2,5,11,0,22,18,41,22,15,373,3,88,No Change
210,Anonymous Class,com.android.calendar.month.MonthByWeekFragment.(Anon_1),2,1,2,0,1,0,1,1,1,10,2,0,No Change
211,Anonymous Class,com.android.calendar.month.MonthByWeekFragment.(Anon_2),2,1,4,0,1,0,1,1,1,15,2,0,No Change
212,Anonymous Class,com.android.calendar.month.MonthByWeekFragment.(Anon_3),3,1,1,0,1,0,1,1,1,17,2,0,No Change
213,Anonymous Class,com.android.calendar.month.MonthByWeekFragment.(Anon_4),2,1,1,0,1,0,1,1,1,8,2,0,No Change
214,Anonymous Class,com.android.calendar.month.MonthByWeekFragment.handleEvent.(Anon_5),1,1,2,0,1,0,1,1,1,6,2,0,No Change
215,Public Class,com.android.calendar.month.MonthListView,2,1,3,0,9,6,9,9,5,122,2,82,No Change
216,Anonymous Class,com.android.calendar.month.MonthListView.(Anon_1),2,1,2,0,1,0,1,1,1,8,2,0,No Change
217,Public Class,com.android.calendar.month.MonthWeekEventsView,4,1,5,0,27,56,42,27,12,846,3,92,No Change
218,Private Class,com.android.calendar.month.MonthWeekEventsView.FloatRef,1,1,0,0,2,1,2,2,2,11,1,0,No Change
219,Class,com.android.calendar.month.MonthWeekEventsView.TodayAnimatorListener,2,1,1,0,3,2,3,3,3,40,2,33,No Change
220,Public Class,com.android.calendar.month.SimpleDayPickerFragment,3,2,4,1,19,31,19,19,12,376,2,88,No Change
221,Anonymous Class,com.android.calendar.month.SimpleDayPickerFragment.(Anon_1),2,1,1,0,1,0,1,1,1,16,2,0,No Change
222,Anonymous Class,com.android.calendar.month.SimpleDayPickerFragment.(Anon_2),2,1,2,0,1,0,1,1,1,8,2,0,No Change
223,Protected Class,com.android.calendar.month.SimpleDayPickerFragment.ScrollStateRunnable,2,2,2,0,2,1,2,2,2,22,1,0,No Change
224,Public Class,com.android.calendar.month.SimpleWeeksAdapter,2,2,4,1,14,10,14,14,11,167,2,86,No Change
225,Protected Class,com.android.calendar.month.SimpleWeeksAdapter.CalendarGestureListener,1,1,0,0,1,0,1,1,1,6,2,0,No Change
226,Public Class,com.android.calendar.month.SimpleWeekView,3,1,1,1,15,33,15,15,7,330,2,83,No Change
227,Public Class,com.android.calendar.MultiStateButton,2,1,0,0,11,5,11,11,10,108,2,70,No Change
228,Public Class,com.android.calendar.OtherPreferences,3,2,1,0,6,11,6,6,4,171,2,72,No Change
229,Private Class,com.android.calendar.OtherPreferences.TimeSetListener,2,2,1,0,2,1,2,2,2,28,1,0,No Change
230,Public Class,com.android.calendar.QuickResponseSettings,2,2,2,0,4,2,4,4,4,57,2,50,No Change
231,Public Class,com.android.calendar.RecipientAdapter,1,1,0,0,2,0,2,2,2,10,2,0,No Change
232,Public Class,com.android.calendar.recurrencepicker.LinearLayoutWithMaxWidth,1,1,1,0,4,0,4,4,3,16,2,0,No Change
233,Public Class,com.android.calendar.recurrencepicker.RecurrencePickerDialog,6,6,4,0,18,35,22,22,14,930,2,87,No Change
234,Private Class,com.android.calendar.recurrencepicker.RecurrencePickerDialog.EndSpinnerAdapter,5,1,2,0,3,8,3,3,3,99,2,25,No Change
235,Class,com.android.calendar.recurrencepicker.RecurrencePickerDialog.minMaxTextWatcher,1,2,1,2,5,3,5,5,4,41,1,60,No Change
