,Kind,Name,AvgCyclomatic,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethodAll,CountDeclMethod,CountDeclMethodPublic,CountLineCode,MaxInheritanceTree,PercentLackOfCohesion,Change
318,Anonymous Class,com.android.mail.lib.base.Splitter.on.(Anon_3),1,2,2,0,1,0,1,1,1,23,1,0,Class Deleted
319,Anonymous Class,com.android.mail.lib.base.Splitter.on.(Anon_3).iterator.(Anon_4),2,1,1,0,2,0,12,2,2,18,3,0,Class Deleted
320,Anonymous Class,com.android.mail.lib.base.Splitter.on.(Anon_5),1,2,2,0,1,0,1,1,1,13,1,0,Class Deleted
321,Anonymous Class,com.android.mail.lib.base.Splitter.on.(Anon_5).iterator.(Anon_6),1,1,1,0,2,0,12,2,2,7,3,0,Class Deleted
322,Anonymous Class,com.android.mail.lib.base.Splitter.split.(Anon_9),1,1,2,0,1,0,1,1,1,4,2,0,Class Deleted
323,Private Static Abstract Class,com.android.mail.lib.base.Splitter.SplittingIterator,3,1,2,4,4,4,10,4,0,39,2,12,Class Deleted
324,Private Interface,com.android.mail.lib.base.Splitter.Strategy,0,0,1,4,1,0,1,1,0,3,0,0,Class Deleted
325,Public Class,com.android.mail.lib.base.Strings,2,1,1,0,1,0,7,7,6,44,1,0,Class Deleted
326,Public Class,com.android.mail.lib.base.Strings,2,1,1,0,1,0,7,7,6,44,1,0,Class Deleted
327,Public Abstract Class,com.android.mail.lib.base.UnicodeEscaper,4,1,1,1,5,0,10,7,2,167,2,0,Class Deleted
328,Anonymous Class,com.android.mail.lib.base.UnicodeEscaper.escape.(Anon_1),3,1,2,0,5,1,5,5,3,66,2,40,Class Deleted
329,Public Class,com.android.mail.lib.base.X,1,1,0,0,1,0,3,3,2,10,1,0,Class Deleted
330,Public Class,com.android.mail.lib.html.parser.HTML,0,1,0,0,0,0,0,0,0,118,1,0,Class Deleted
331,Public Static Class,com.android.mail.lib.html.parser.HTML.Attribute,1,1,2,0,8,3,8,8,8,50,1,58,Class Deleted
332,Public Static Class,com.android.mail.lib.html.parser.HTML.Element,1,1,3,0,11,6,11,11,11,67,1,77,Class Deleted
333,Public Class,com.android.mail.lib.html.parser.HTML4,1,1,5,0,0,0,12,12,5,304,1,0,Class Deleted
334,Anonymous Class,com.android.mail.lib.html.parser.HTML4.(Anon_1),1,2,3,0,2,0,2,2,2,7,1,0,Class Deleted
335,Public Class,com.android.mail.lib.html.parser.HtmlDocument,1,1,15,0,8,1,21,21,21,702,1,66,Class Deleted
336,Public Static Class,com.android.mail.lib.html.parser.HtmlDocument.Builder,1,2,6,0,10,3,10,10,10,36,1,80,Class Deleted
337,Public Static Class,com.android.mail.lib.html.parser.HtmlDocument.CDATA,1,1,0,0,3,0,23,3,2,13,4,0,Class Deleted
338,Public Static Class,com.android.mail.lib.html.parser.HtmlDocument.Comment,1,1,1,0,6,1,13,6,6,25,2,16,Class Deleted
339,Public Static Class,com.android.mail.lib.html.parser.HtmlDocument.DebugPrinter,1,2,6,0,8,1,8,8,7,42,1,50,Class Deleted
340,Public Static Class,com.android.mail.lib.html.parser.HtmlDocument.EndTag,1,1,3,0,8,2,15,8,7,41,2,56,Class Deleted
341,Private Static Class,com.android.mail.lib.html.parser.HtmlDocument.EscapedText,1,1,0,0,2,2,20,2,1,14,3,25,Class Deleted
342,Public Interface,com.android.mail.lib.html.parser.HtmlDocument.Filter,0,0,4,0,6,0,6,6,0,8,0,0,Class Deleted
343,Public Interface,com.android.mail.lib.html.parser.HtmlDocument.MultiplexFilter,0,0,1,3,3,0,3,3,0,5,0,0,Class Deleted
344,Public Static Class,com.android.mail.lib.html.parser.HtmlDocument.MultiplexFilterAdapter,2,2,6,0,4,1,4,4,4,32,1,0,Class Deleted
345,Public Static Class,com.android.mail.lib.html.parser.HtmlDocument.MultiplexFilterChain,2,2,1,0,4,1,4,4,4,38,1,0,Class Deleted
346,Public Static Abstract Class,com.android.mail.lib.html.parser.HtmlDocument.Node,1,1,1,4,7,0,7,7,7,21,1,0,Class Deleted
347,Public Static Abstract Class,com.android.mail.lib.html.parser.HtmlDocument.SimpleMultiplexFilter,3,2,5,0,5,0,5,5,5,24,1,0,Class Deleted
348,Public Static Class,com.android.mail.lib.html.parser.HtmlDocument.Tag,1,1,6,0,17,5,24,17,15,125,2,75,Class Deleted
349,Public Static Class,com.android.mail.lib.html.parser.HtmlDocument.TagAttribute,1,1,5,0,13,3,13,13,12,72,1,58,Class Deleted
350,Public Static Abstract Class,com.android.mail.lib.html.parser.HtmlDocument.Text,1,1,3,2,11,2,18,11,10,64,2,70,Class Deleted
351,Private Static Class,com.android.mail.lib.html.parser.HtmlDocument.UnescapedText,1,1,1,1,2,1,20,2,1,11,3,0,Class Deleted
352,Public Interface,com.android.mail.lib.html.parser.HtmlDocument.Visitor,0,0,4,3,6,0,6,6,0,8,0,0,Class Deleted
353,Public Static Class,com.android.mail.lib.html.parser.HtmlDocument.VisitorWrapper,1,2,4,0,7,1,7,7,6,24,1,0,Class Deleted
354,Public Class,com.android.mail.lib.html.parser.HtmlParser,4,1,21,0,18,10,22,22,8,623,1,82,Class Deleted
355,Private Static Class,com.android.mail.lib.html.parser.HtmlParser.AttributeScanner,3,1,1,0,7,8,7,7,4,99,1,57,Class Deleted
356,Private Static Class,com.android.mail.lib.html.parser.HtmlParser.TagNameScanner,2,1,0,0,3,4,3,3,3,29,1,33,Class Deleted
357,Public Class,com.android.mail.lib.html.parser.HtmlTree,2,1,11,0,25,9,26,26,13,482,1,82,Class Deleted
358,Anonymous Class,com.android.mail.lib.html.parser.HtmlTree.(Anon_1),1,2,2,0,1,0,1,1,1,4,1,0,Class Deleted
359,Public Static Class,com.android.mail.lib.html.parser.HtmlTree.Block,0,1,0,0,0,2,0,0,0,4,1,0,Class Deleted
360,Public Static Class,com.android.mail.lib.html.parser.HtmlTree.DefaultPlainTextConverter,5,2,9,0,3,2,3,3,3,58,1,33,Class Deleted
361,Public Interface,com.android.mail.lib.html.parser.HtmlTree.PlainTextConverter,0,0,1,1,3,0,3,3,0,5,0,0,Class Deleted
362,Public Interface,com.android.mail.lib.html.parser.HtmlTree.PlainTextConverterFactory,0,0,1,1,1,0,1,1,0,3,0,0,Class Deleted
363,Static Class,com.android.mail.lib.html.parser.HtmlTree.PlainTextPrinter,2,1,3,0,12,4,13,13,0,107,1,71,Class Deleted
364,Public Interface,com.android.mail.lib.html.parser.HtmlWhitelist,0,0,2,1,2,0,2,2,0,3,0,0,Class Deleted
365,Public Interface,com.android.mail.lib.html.parser.HtmlWhitelist,0,0,2,0,2,0,2,2,0,3,0,0,Class Deleted
366,Public Class,com.android.mail.MailIntentService,2,1,10,0,4,0,5,5,3,66,2,0,Lines Increased
367,Public Class,com.android.mail.MailLogService,1,1,3,0,2,0,5,5,3,71,2,60,No Change
368,Private Static Class,com.android.mail.MailLogService.CircularBuffer,1,1,0,0,3,2,4,4,1,30,1,62,No Change
369,Public Class,com.android.mail.MinTimeProgressDialog,1,2,0,0,5,6,6,6,6,70,2,70,No Change
370,Anonymous Class,com.android.mail.MinTimeProgressDialog.(Anon_1),1,1,0,0,1,0,1,1,1,5,2,0,No Change
371,Anonymous Class,com.android.mail.MinTimeProgressDialog.(Anon_2),2,1,1,0,1,0,1,1,1,7,2,0,No Change
372,Public Class,com.android.mail.MinTimeProgressView,1,1,0,0,5,5,5,5,3,58,2,65,No Change
373,Anonymous Class,com.android.mail.MinTimeProgressView.(Anon_1),1,1,0,0,1,0,1,1,1,5,2,0,No Change
374,Anonymous Class,com.android.mail.MinTimeProgressView.(Anon_2),2,1,1,0,1,0,1,1,1,8,2,0,No Change
375,Public Class,com.android.mail.NotificationActionIntentService,3,1,9,0,2,0,3,3,1,81,2,0,No Change
376,Public Class,com.android.mail.perf.SimpleTimer,1,1,1,0,7,4,7,7,6,36,1,71,No Change
377,Public Class,com.android.mail.perf.Timer,2,1,3,0,8,3,12,12,11,129,1,66,No Change
378,Private Static Class,com.android.mail.perf.Timer.PerformancePoint,1,1,0,0,1,2,1,1,1,8,1,0,No Change
379,Public Interface,com.android.mail.photo.ContactPhotoFetcher,0,0,0,0,1,0,1,1,0,5,0,0,Class Deleted
380,Public Class,com.android.mail.photo.MailPhotoViewActivity,1,2,4,0,1,0,5,5,4,43,2,0,Lines Increased
381,Public Class,com.android.mail.photo.MailPhotoViewController,2,1,15,0,21,11,21,21,10,268,2,85,Lines Decreased
382,Public Interface,com.android.mail.photo.MailPhotoViewController.ActivityInterface,0,1,0,1,2,0,2,2,0,4,2,0,No Change
383,Anonymous Class,com.android.mail.photo.MailPhotoViewController.updateProgressAndEmptyViews.(Anon_1),1,1,1,0,1,0,1,1,1,7,2,0,No Change
384,Public Class,com.android.mail.photomanager.LetterTileProvider,2,1,4,0,5,15,6,6,2,104,1,73,Lines Decreased
385,Public Class,com.android.mail.preferences.AccountPreferences,1,1,2,0,14,0,37,16,13,80,2,93,No Change
386,Public Static Class,com.android.mail.preferences.AccountPreferences.PreferenceKeys,0,1,0,0,0,0,0,0,0,10,1,0,No Change
387,Public Abstract Class,com.android.mail.preferences.BasePreferenceMigrator,2,1,0,0,2,0,2,2,1,11,1,0,No Change
388,Public Abstract Class,com.android.mail.preferences.BasePreferenceMigrator,2,1,0,0,2,0,2,2,1,11,1,0,No Change
389,Public Class,com.android.mail.preferences.FolderPreferences,1,1,9,0,20,3,42,21,12,173,2,90,No Change
390,Public Static Class,com.android.mail.preferences.FolderPreferences.PreferenceKeys,0,1,0,0,0,0,0,0,0,14,1,0,No Change
391,Public Class,com.android.mail.preferences.MailPrefs,1,1,8,0,50,1,73,52,45,324,2,96,Lines Increased
392,Public Static Class,com.android.mail.preferences.MailPrefs.ConversationListSwipeActions,0,1,0,0,0,0,0,0,0,5,1,0,No Change
393,Public Static Class,com.android.mail.preferences.MailPrefs.PreferenceKeys,0,1,0,0,0,0,0,0,0,45,1,0,Lines Increased
394,Public Static Class,com.android.mail.preferences.MailPrefs.RemovalActions,0,1,0,0,0,0,0,0,0,5,1,0,Lines Increased
395,Public Annotation,com.android.mail.preferences.MailPrefs.RemovalActionTypes,0,0,0,0,0,0,0,0,0,1,0,0,No Change
396,Public Class,com.android.mail.preferences.PreferenceMigratorHolder,1,1,2,0,0,0,2,2,2,15,1,0,No Change
397,Public Interface,com.android.mail.preferences.PreferenceMigratorHolder.PreferenceMigratorCreator,0,0,1,0,1,0,1,1,0,3,0,0,No Change
398,Public Class,com.android.mail.preferences.SimpleBackupSharedPreference,1,2,0,0,6,2,7,7,7,52,1,35,No Change
399,Public Abstract Class,com.android.mail.preferences.VersionedPrefs,1,1,7,3,21,4,21,21,8,142,1,82,Modified
400,Public Class,com.android.mail.print.HtmlPrintTemplates,1,1,3,0,5,5,10,5,5,53,2,60,No Change
401,Public Class,com.android.mail.print.PrintUtils,3,1,11,0,0,0,12,12,3,199,1,0,Lines Increased
402,Public Class,com.android.mail.providers.Account,1,2,13,0,24,36,28,28,25,589,1,72,Lines Increased
403,Anonymous Class,com.android.mail.providers.Account.(Anon_1),1,1,2,0,3,0,3,3,3,13,2,0,No Change
404,Anonymous Class,com.android.mail.providers.Account.(Anon_2),1,2,2,0,2,0,2,2,2,9,1,0,No Change
405,Public Static Class,com.android.mail.providers.Account.Builder,1,1,1,0,3,0,3,3,3,11,1,0,No Change
406,Public Abstract Class,com.android.mail.providers.AccountObserver,1,1,4,8,6,1,6,6,6,33,2,19,Modified
407,Public Abstract Class,com.android.mail.providers.AllAccountObserver,1,1,4,1,6,1,6,6,6,33,2,19,No Change
408,Public Class,com.android.mail.providers.Attachment,2,2,15,1,33,17,40,40,37,463,1,73,Modified
409,Anonymous Class,com.android.mail.providers.Attachment.(Anon_1),1,1,1,0,2,0,2,2,2,9,2,0,No Change
410,Public Class,com.android.mail.providers.Conversation,2,2,10,0,20,26,27,27,22,538,1,80,Lines Increased
411,Anonymous Class,com.android.mail.providers.Conversation.(Anon_1),1,1,1,0,3,0,3,3,3,13,2,0,No Change
412,Anonymous Class,com.android.mail.providers.Conversation.(Anon_2),1,2,1,0,2,0,2,2,2,9,1,0,No Change
413,Public Static Class,com.android.mail.providers.Conversation.Builder,1,1,4,0,25,23,25,25,25,131,1,92,No Change
414,Public Class,com.android.mail.providers.ConversationInfo,1,2,1,0,14,6,15,15,14,129,1,44,Lines Increased
415,Public Class,com.android.mail.providers.ConversationInfo,1,2,1,0,14,6,15,15,14,129,1,44,Lines Increased
416,Anonymous Class,com.android.mail.providers.ConversationInfo.(Anon_1),1,1,1,0,2,0,2,2,2,9,2,0,No Change
417,Anonymous Class,com.android.mail.providers.ConversationInfo.(Anon_1),1,1,2,0,2,0,2,2,2,9,2,0,No Change
418,Public Class,com.android.mail.providers.Folder,2,3,14,0,30,27,41,41,39,608,1,86,Lines Increased
419,Anonymous Class,com.android.mail.providers.Folder.(Anon_1),1,2,1,0,2,0,2,2,2,9,1,0,No Change
420,Anonymous Class,com.android.mail.providers.Folder.(Anon_2),1,1,1,0,3,0,3,3,3,13,2,0,No Change
421,Public Static Class,com.android.mail.providers.Folder.Builder,1,1,1,0,26,25,26,26,26,135,1,92,No Change
422,Public Class,com.android.mail.providers.FolderList,1,2,1,0,7,1,10,10,9,67,1,50,No Change
423,Anonymous Class,com.android.mail.providers.FolderList.(Anon_1),1,1,1,0,2,0,2,2,2,9,2,0,No Change
424,Public Abstract Class,com.android.mail.providers.FolderObserver,1,1,4,4,6,1,6,6,6,33,2,19,No Change
425,Public Class,com.android.mail.providers.FolderWatcher,2,1,8,0,7,5,8,8,4,124,1,72,No Change
