,Kind,Name,AvgCyclomatic,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethodAll,CountDeclMethod,CountDeclMethodPublic,CountLineCode,MaxInheritanceTree,PercentLackOfCohesion,Change
60,Public Class,com.android.settings.ActivityPicker,2,3,2,1,6,2,6,6,2,267,2,58,Lines Decreased
61,Private Static Class,com.android.settings.ActivityPicker.EmptyDrawable,1,1,0,0,9,2,9,9,8,37,2,66,No Change
62,Private Static Class,com.android.settings.ActivityPicker.IconResizer,6,1,1,0,2,5,2,2,2,77,1,9,No Change
63,Protected Static Class,com.android.settings.ActivityPicker.PickAdapter,1,1,1,0,5,2,5,5,5,72,2,50,No Change
64,Public Static Class,com.android.settings.ActivityPicker.PickAdapter.Item,1,2,1,0,5,5,5,5,1,45,1,60,No Change
65,Public Class,com.android.settings.AirplaneModeEnabler,1,2,0,0,7,5,8,8,6,72,1,60,Lines Decreased
66,Anonymous Class,com.android.settings.AirplaneModeEnabler.(Anon_1),2,1,1,0,1,0,1,1,1,9,2,0,No Change
67,Anonymous Class,com.android.settings.AirplaneModeEnabler.(Anon_2),1,1,1,0,1,0,1,1,1,5,2,0,No Change
68,Public Class,com.android.settings.AirplaneModeVoiceActivity,3,1,0,0,1,0,3,1,0,13,3,0,Lines Decreased
69,Public Class,com.android.settings.AllowBindAppWidgetActivity,4,2,0,0,3,7,3,3,1,92,2,38,Lines Decreased
70,Public Class,com.android.settings.ApnEditor,4,3,0,0,21,28,21,21,7,526,2,82,Lines Increased
71,Public Class,com.android.settings.ApnPreference,1,3,0,0,10,2,10,10,10,83,2,72,No Change
72,Public Class,com.android.settings.ApnSettings,2,2,3,0,15,8,51,16,10,280,3,87,Lines Increased
73,Anonymous Class,com.android.settings.ApnSettings.(Anon_1),4,1,2,0,1,0,1,1,1,17,2,0,No Change
74,Private Class,com.android.settings.ApnSettings.RestoreApnProcessHandler,1,1,2,0,2,1,2,2,2,18,2,0,No Change
75,Private Class,com.android.settings.ApnSettings.RestoreApnUiHandler,3,1,2,0,1,0,1,1,1,23,2,0,No Change
76,Interface,com.android.settings.applications.AppClickListener,0,0,1,1,1,0,1,1,0,4,0,0,Class Deleted
77,Public Class,com.android.settings.applications.ApplicationsState,4,1,8,0,18,19,20,20,3,873,1,85,Class Deleted
78,Anonymous Class,com.android.settings.applications.ApplicationsState.(Anon_1),3,1,1,0,1,1,1,1,1,13,2,0,Class Deleted
79,Anonymous Class,com.android.settings.applications.ApplicationsState.(Anon_2),3,1,1,0,1,1,1,1,1,8,2,0,Class Deleted
80,Anonymous Class,com.android.settings.applications.ApplicationsState.(Anon_3),3,1,1,0,1,1,1,1,1,8,2,0,Class Deleted
81,Anonymous Class,com.android.settings.applications.ApplicationsState.(Anon_4),3,1,1,0,1,1,1,1,1,8,2,0,Class Deleted
82,Anonymous Class,com.android.settings.applications.ApplicationsState.(Anon_5),2,2,0,0,2,0,2,2,2,12,1,0,Class Deleted
83,Anonymous Class,com.android.settings.applications.ApplicationsState.(Anon_6),1,2,1,0,2,1,2,2,2,10,1,0,Class Deleted
84,Anonymous Class,com.android.settings.applications.ApplicationsState.(Anon_7),1,2,0,0,2,0,2,2,2,10,1,0,Class Deleted
85,Anonymous Class,com.android.settings.applications.ApplicationsState.(Anon_8),1,2,0,0,2,0,2,2,2,10,1,0,Class Deleted
86,Public Static Class,com.android.settings.applications.ApplicationsState.AppEntry,3,1,1,0,4,15,4,4,0,63,2,75,Class Deleted
87,Public Interface,com.android.settings.applications.ApplicationsState.AppFilter,0,0,0,4,2,0,2,2,2,4,0,0,Class Deleted
