,Kind,Name,AvgCyclomatic,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethodAll,CountDeclMethod,CountDeclMethodPublic,CountLineCode,MaxInheritanceTree,PercentLackOfCohesion,Change
144,Anonymous Class,com.android.incallui.widget.multiwaveview.Ease.Cubic.(Anon_3),1,1,1,0,1,0,1,1,1,4,2,0,No Change
145,Anonymous Class,com.android.incallui.widget.multiwaveview.Ease.Cubic.(Anon_4),2,1,1,0,1,0,1,1,1,6,2,0,No Change
146,Static Class,com.android.incallui.widget.multiwaveview.Ease.Linear,0,1,0,0,0,0,0,0,0,7,1,0,No Change
147,Anonymous Class,com.android.incallui.widget.multiwaveview.Ease.Linear.(Anon_1),1,1,0,0,1,0,1,1,1,4,2,0,No Change
148,Static Class,com.android.incallui.widget.multiwaveview.Ease.Quad,0,1,0,0,0,0,0,0,0,19,1,0,No Change
149,Anonymous Class,com.android.incallui.widget.multiwaveview.Ease.Quad.(Anon_5),1,1,1,0,1,0,1,1,1,4,2,0,No Change
150,Anonymous Class,com.android.incallui.widget.multiwaveview.Ease.Quad.(Anon_6),1,1,1,0,1,0,1,1,1,4,2,0,No Change
151,Anonymous Class,com.android.incallui.widget.multiwaveview.Ease.Quad.(Anon_7),2,1,1,0,1,0,1,1,1,6,2,0,No Change
152,Static Class,com.android.incallui.widget.multiwaveview.Ease.Quart,0,1,0,0,0,0,0,0,0,19,1,0,No Change
153,Anonymous Class,com.android.incallui.widget.multiwaveview.Ease.Quart.(Anon_10),2,1,1,0,1,0,1,1,1,6,2,0,No Change
154,Anonymous Class,com.android.incallui.widget.multiwaveview.Ease.Quart.(Anon_8),1,1,1,0,1,0,1,1,1,4,2,0,No Change
155,Anonymous Class,com.android.incallui.widget.multiwaveview.Ease.Quart.(Anon_9),1,1,1,0,1,0,1,1,1,4,2,0,No Change
156,Static Class,com.android.incallui.widget.multiwaveview.Ease.Quint,0,1,0,0,0,0,0,0,0,19,1,0,No Change
157,Anonymous Class,com.android.incallui.widget.multiwaveview.Ease.Quint.(Anon_11),1,1,1,0,1,0,1,1,1,4,2,0,No Change
158,Anonymous Class,com.android.incallui.widget.multiwaveview.Ease.Quint.(Anon_12),1,1,1,0,1,0,1,1,1,4,2,0,No Change
159,Anonymous Class,com.android.incallui.widget.multiwaveview.Ease.Quint.(Anon_13),2,1,1,0,1,0,1,1,1,6,2,0,No Change
160,Static Class,com.android.incallui.widget.multiwaveview.Ease.Sine,0,1,0,0,0,0,0,0,0,17,1,0,No Change
161,Anonymous Class,com.android.incallui.widget.multiwaveview.Ease.Sine.(Anon_14),1,1,1,0,1,0,1,1,1,4,2,0,No Change
162,Anonymous Class,com.android.incallui.widget.multiwaveview.Ease.Sine.(Anon_15),1,1,1,0,1,0,1,1,1,4,2,0,No Change
163,Anonymous Class,com.android.incallui.widget.multiwaveview.Ease.Sine.(Anon_16),1,1,1,0,1,0,1,1,1,4,2,0,No Change
164,Public Class,com.android.incallui.widget.multiwaveview.GlowPadView,3,1,11,1,70,42,70,70,21,1035,2,93,Lines Increased
165,Anonymous Class,com.android.incallui.widget.multiwaveview.GlowPadView.(Anon_1),1,1,1,0,1,0,1,1,1,5,2,0,No Change
166,Anonymous Class,com.android.incallui.widget.multiwaveview.GlowPadView.(Anon_2),1,1,1,0,1,0,1,1,1,6,2,0,No Change
167,Anonymous Class,com.android.incallui.widget.multiwaveview.GlowPadView.(Anon_3),1,1,0,0,1,0,1,1,1,4,2,0,No Change
168,Anonymous Class,com.android.incallui.widget.multiwaveview.GlowPadView.(Anon_4),2,1,1,0,1,0,1,1,1,9,2,0,No Change
169,Private Class,com.android.incallui.widget.multiwaveview.GlowPadView.AnimationBundle,2,1,1,0,4,1,4,4,4,31,2,50,No Change
170,Public Interface,com.android.incallui.widget.multiwaveview.GlowPadView.OnTriggerListener,0,0,0,1,5,2,5,5,5,9,0,0,No Change
171,Anonymous Class,com.android.incallui.widget.multiwaveview.GlowPadView.startWaveAnimation.(Anon_5),1,1,3,0,1,0,1,1,1,5,2,0,No Change
172,Public Class,com.android.incallui.widget.multiwaveview.PointCloud,2,1,3,0,8,9,10,10,7,173,1,81,No Change
173,Public Class,com.android.incallui.widget.multiwaveview.PointCloud.GlowManager,1,1,0,0,8,4,8,8,8,30,1,75,No Change
174,Class,com.android.incallui.widget.multiwaveview.PointCloud.Point,1,1,0,0,1,3,1,1,1,10,1,0,No Change
175,Public Class,com.android.incallui.widget.multiwaveview.PointCloud.WaveManager,1,1,0,0,4,3,4,4,4,17,1,66,No Change
176,Public Class,com.android.incallui.widget.multiwaveview.TargetDrawable,1,1,0,0,26,11,26,26,25,152,1,86,Lines Increased
177,Class,com.android.incallui.widget.multiwaveview.Tweener,5,1,0,0,2,1,6,6,3,121,1,61,No Change
178,Anonymous Class,com.android.incallui.widget.multiwaveview.Tweener.(Anon_1),1,1,1,0,2,0,2,2,2,9,2,0,No Change
179,Public Class,com.android.incalluibind.ObjectFactory,1,1,0,0,0,0,2,2,2,4,1,0,Lines Increased
180,Public Class,com.android.incalluibind.ServiceFactory,1,1,1,0,0,0,1,1,1,5,1,0,Class Deleted
